Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,33122.525300000016
1_2_2012-11-02,47815.90070000001
1_3_2012-11-02,11254.907400000002
1_4_2012-11-02,38283.61099999999
1_5_2012-11-02,31202.361599999982
1_6_2012-11-02,4748.860900000006
1_7_2012-11-02,24165.36730000001
1_8_2012-11-02,38604.636499999986
1_9_2012-11-02,40585.43800000002
1_10_2012-11-02,30108.775499999985
1_11_2012-11-02,25953.16829999999
1_12_2012-11-02,9876.518900000005
1_13_2012-11-02,42771.37490000001
1_14_2012-11-02,14245.735099999998
1_16_2012-11-02,6195.650199999996
1_17_2012-11-02,8570.398299999999
1_18_2012-11-02,12900.094399999994
1_19_2012-11-02,1017.9810000000003
1_20_2012-11-02,3330.0346000000027
1_21_2012-11-02,8337.1053
1_22_2012-11-02,8085.577800000007
1_23_2012-11-02,22629.3873
1_24_2012-11-02,6638.2835999999925
1_25_2012-11-02,11027.418099999999
1_26_2012-11-02,7703.2211
1_27_2012-11-02,1810.3097000000018
1_28_2012-11-02,778.7748999999999
1_29_2012-11-02,4659.185999999999
1_30_2012-11-02,2450.4578
1_31_2012-11-02,2133.818400000001
1_32_2012-11-02,6710.294500000001
1_33_2012-11-02,6284.111999999999
1_34_2012-11-02,11612.449600000002
1_35_2012-11-02,2552.336999999998
1_36_2012-11-02,2097.3219999999988
1_37_2012-11-02,2882.6175999999996
1_38_2012-11-02,89031.12889999997
1_40_2012-11-02,62682.796099999956
1_41_2012-11-02,1193.1597000000008
1_42_2012-11-02,8194.073399999988
1_44_2012-11-02,5756.910499999995
1_46_2012-11-02,18784.354200000005
1_48_2012-11-02,2131.173
1_49_2012-11-02,10178.847099999992
1_52_2012-11-02,2187.024699999999
1_55_2012-11-02,14403.78780000001
1_56_2012-11-02,1114.6523000000002
1_58_2012-11-02,3117.3396999999995
1_59_2012-11-02,658.8579999999995
1_60_2012-11-02,1272.8580000000004
1_67_2012-11-02,6312.97
1_71_2012-11-02,2562.4083
1_72_2012-11-02,55022.31320000003
1_74_2012-11-02,9774.236299999999
1_79_2012-11-02,43016.65809999999
1_80_2012-11-02,19068.82689999999
1_81_2012-11-02,30965.254199999985
1_82_2012-11-02,20194.041100000002
1_83_2012-11-02,5701.352800000001
1_85_2012-11-02,3135.8607999999995
1_87_2012-11-02,58713.275299999965
1_90_2012-11-02,90263.41690000007
1_91_2012-11-02,64869.9709
